subdistrict_code,postal_code,sub_district_th,district_th,province_th,sub_district_en,district_en,province_en
100101,10200,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok
100102,10200,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,Wang Burapha Phirom,Phra Nakhon,Bangkok
100103,10200,วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,Wat Ratchabophit,Phra Nakhon,Bangkok
100104,10200,สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,Samran Rat,Phra Nakhon,Bangkok
100105,10200,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,San Chaopho Suea,Phra Nakhon,Bangkok
100106,10200,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,Sao Chingcha,Phra Nakhon,Bangkok
100107,10200,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,Bowon Niwet,Phra Nakhon,Bangkok
100108,10200,ตลาดยอด,พระนคร,กรุงเทพมหานคร,Talat Yot,Phra Nakhon,Bangkok
100109,10200,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,Chana Songkhram,Phra Nakhon,Bangkok
100110,10200,บ้านพานถม,พระนคร,กรุงเทพมหานคร,Ban Phan Thom,Phra Nakhon,Bangkok
100111,10200,บางขุนพรหม,พระนคร,กรุงเทพมหานคร,Bang Khun Phrom,Phra Nakhon,Bangkok
100112,10200,วัดสามพระยา,พระนคร,กรุงเทพมหานคร,Wat Sam Phraya,Phra Nakhon,Bangkok
100201,10300,ดุสิต,ดุสิต,กรุงเทพมหานคร,Dusit,Dusit,Bangkok
100202,10300,วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,Wachira Phayaban,Dusit,Bangkok
100203,10300,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,Suan Chit Lada,Dusit,Bangkok
100204,10300,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,Si Yaek Maha Nak,Dusit,Bangkok
100206,10300,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,Thanon Nakhon Chai Si,Dusit,Bangkok
100301,10530,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,Krathum Rai,Nong Chok,Bangkok
100302,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,Nong Chok,Nong Chok,Bangkok
100303,10530,คลองสิบ,หนองจอก,กรุงเทพมหานคร,Khlong Sip,Nong Chok,Bangkok
100304,10530,คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,Khlong Sip Song,Nong Chok,Bangkok
100305,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,Khok Faet,Nong Chok,Bangkok
100306,10530,คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร,Khu Fang Nuea,Nong Chok,Bangkok
100307,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,Lam Phak Chi,Nong Chok,Bangkok
100308,10530,ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,Lam Toiting,Nong Chok,Bangkok
100401,10500,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,Maha Phruettharam,Bang Rak,Bangkok
100402,10500,สีลม,บางรัก,กรุงเทพมหานคร,Si Lom,Bang Rak,Bangkok
100403,10500,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,Suriyawong,Bang Rak,Bangkok
100404,10500,บางรัก,บางรัก,กรุงเทพมหานคร,Bang Rak,Bang Rak,Bangkok
100405,10500,สี่พระยา,บางรัก,กรุงเทพมหานคร,Si Phraya,Bang Rak,Bangkok
100502,10220,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,Anusawari,Bang Khen,Bangkok
100508,10220,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,Tha Raeng,Bang Khen,Bangkok
100601,10240,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,Khlong Chan,Bang Kapi,Bangkok
100608,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,Hua Mak,Bang Kapi,Bangkok
100701,10330,รองเมือง,ปทุมวัน,กรุงเทพมหานคร,Rong Mueang,Pathum Wan,Bangkok
100702,10330,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,Wang Mai,Pathum Wan,Bangkok
100703,10330,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,Pathum Wan,Pathum Wan,Bangkok
100704,10330,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,Lumphini,Pathum Wan,Bangkok
100801,10100,ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Pom Prap,Pom Prap Sattruphai,Bangkok
100802,10100,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Wat Thep Sirin,Pom Prap Sattruphai,Bangkok
100803,10100,คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Khlong Maha Nak,Pom Prap Sattruphai,Bangkok
100804,10100,บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Ban Bat,Pom Prap Sattruphai,Bangkok
100805,10100,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Wat Sommanat,Pom Prap Sattruphai,Bangkok
100905,10260,บางจาก,พระโขนง,กรุงเทพมหานคร,Bang Chak,Phra Khanong,Bangkok
100910,10260,พระโขนงใต้,พระโขนง,กรุงเทพมหานคร,Phra Khanong Tai,Phra Khanong,Bangkok
101001,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,Min Buri,Min Buri,Bangkok
101002,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,Saen Saep,Min Buri,Bangkok
101101,10520,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,Lat Krabang,Lat Krabang,Bangkok
101102,10520,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,Khlong Song Ton Nun,Lat Krabang,Bangkok
101103,10520,คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,Khlong Sam Prawet,Lat Krabang,Bangkok
101104,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,Lam Pla Thio,Lat Krabang,Bangkok
101105,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,Thap Yao,Lat Krabang,Bangkok
101106,10520,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,Khum Thong,Lat Krabang,Bangkok
101203,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,Chong Nonsi,Yannawa,Bangkok
101204,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,Bang Phongphang,Yannawa,Bangkok
101301,10100,จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,Chakkrawat,Samphanthawong,Bangkok
101302,10100,สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,Samphanthawong,Samphanthawong,Bangkok
101303,10100,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,Talat Noi,Samphanthawong,Bangkok
101401,10400,สามเสนใน,พญาไท,กรุงเทพมหานคร,Sam Sen Nai,Phaya Thai,Bangkok
101406,10400,พญาไท,พญาไท,กรุงเทพมหานคร,Phaya Thai,Phaya Thai,Bangkok
101501,10600,วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,Wat Kanlaya,Thon Buri,Bangkok
101502,10600,หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,Hiran Ruchi,Thon Buri,Bangkok
101503,10600,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,Bang Yi Ruea,Thon Buri,Bangkok
101504,10600,บุคคโล,ธนบุรี,กรุงเทพมหานคร,Bukkhalo,Thon Buri,Bangkok
101505,10600,ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,Talat Phlu,Thon Buri,Bangkok
101506,10600,ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,Dao Khanong,Thon Buri,Bangkok
101507,10600,สำเหร่,ธนบุรี,กรุงเทพมหานคร,Samre,Thon Buri,Bangkok
101601,10600,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,Wat Arun,Bangkok Yai,Bangkok
101602,10600,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,Wat Tha Phra,Bangkok Yai,Bangkok
101701,10310,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,Huai Khwang,Huai Khwang,Bangkok
101702,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,Bang Kapi,Huai Khwang,Bangkok
101704,10310,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,Sam Sen Nok,Huai Khwang,Bangkok
101801,10600,สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,Somdet Chao Phraya,Khlong San,Bangkok
101802,10600,คลองสาน,คลองสาน,กรุงเทพมหานคร,Khlong San,Khlong San,Bangkok
101803,10600,บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,Bang Lamphu Lang,Khlong San,Bangkok
101804,10600,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,Khlong Ton Sai,Khlong San,Bangkok
101901,10170,คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,Khlong Chak Phra,Taling Chan,Bangkok
101902,10170,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,Taling Chan,Taling Chan,Bangkok
101903,10170,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,Chimphli,Taling Chan,Bangkok
101904,10170,บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,Bang Phrom,Taling Chan,Bangkok
101905,10170,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,Bang Ramat,Taling Chan,Bangkok
101907,10170,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,Bang Chueak Nang,Taling Chan,Bangkok
102004,10700,ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,Sirirat,Bangkok Noi,Bangkok
102005,10700,บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,Ban Chang Lo,Bangkok Noi,Bangkok
102006,10700,บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,Bang Khun Non,Bangkok Noi,Bangkok
102007,10700,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,Bang Khun Si,Bangkok Noi,Bangkok
102009,10700,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,Arun Ammarin,Bangkok Noi,Bangkok
102105,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,Tha Kham,Bang Khun Thian,Bangkok
102107,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,Samae Dam,Bang Khun Thian,Bangkok
102201,10160,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,Bang Wa,Phasi Charoen,Bangkok
102202,10160,บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,Bang Duan,Phasi Charoen,Bangkok
102206,10160,บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,Bang Chak,Phasi Charoen,Bangkok
102207,10160,บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,Bang Waek,Phasi Charoen,Bangkok
102208,10160,คลองขวาง,ภาษีเจริญ,กรุงเทพมหานคร,Khlong Khwang,Phasi Charoen,Bangkok
102209,10160,ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,Pak Khlong Phasi Charoen,Phasi Charoen,Bangkok
102210,10160,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,Khuha Sawan,Phasi Charoen,Bangkok
102302,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,Nong Khaem,Nong Khaem,Bangkok
102303,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,Nong Khang Phlu,Nong Khaem,Bangkok
102401,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,Rat Burana,Rat Burana,Bangkok
102402,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,Bang Pa Kok,Rat Burana,Bangkok
102501,10700,บางพลัด,บางพลัด,กรุงเทพมหานคร,Bang Phlat,Bang Phlat,Bangkok
